id;nomelocal;email;foto;foto_content_type;tipo;statusl
1;generation transform Corporate;Emanuel79@hotmail.com;../fake-data/blob/hipster.png;image/png;parsing Coordinator Accountability;CANCELADO
2;Maranhão;Esther92@bol.com.br;../fake-data/blob/hipster.png;image/png;Moçambique deposit;ATIVO
3;toolset;AnaLuiza.Pereira@live.com;../fake-data/blob/hipster.png;image/png;cross-platform Congelado CFA;SUSPENSO
4;value-added;Bryan68@gmail.com;../fake-data/blob/hipster.png;image/png;eyeballs;ATIVO
5;Loan;Lavnia.Souza@bol.com.br;../fake-data/blob/hipster.png;image/png;Arquipélago Dynamic Associate;SUSPENSO
6;generate;MariaAlice_Silva@gmail.com;../fake-data/blob/hipster.png;image/png;Gostoso Saúde;SUSPENSO
7;programming Paraíba;Alessandra.Souza96@live.com;../fake-data/blob/hipster.png;image/png;índigo executive;SUSPENSO
8;Direct;JooMiguel.Macedo36@gmail.com;../fake-data/blob/hipster.png;image/png;Operations;ATIVO
9;Rican;Flix97@live.com;../fake-data/blob/hipster.png;image/png;Refinado Salada time-frame;SUSPENSO
10;mobile Bedfordshire invoice;Jlio.Costa@yahoo.com;../fake-data/blob/hipster.png;image/png;Rica Future;SUSPENSO
