id;nome;email;foto;foto_content_type;data_nascimento;statusv
1;Technician;AnaClara.Saraiva@gmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;ATIVO
2;transmitter withdrawal;Rafael_Barros96@bol.com.br;../fake-data/blob/hipster.png;image/png;2021-05-10;ATIVO
3;Jardim EXE connect;Davi.Macedo@yahoo.com;../fake-data/blob/hipster.png;image/png;2021-05-11;ATIVO
4;quantifying Avenida neural-net;Norberto_Oliveira89@bol.com.br;../fake-data/blob/hipster.png;image/png;2021-05-10;CANCELADO
5;Incrível e Salada;Daniel_Braga@gmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;ATIVO
6;AI Gostoso SQL;Ceclia.Moraes@gmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;SUSPENSO
7;initiative revolutionize Quality;AnaClara.Reis41@gmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;ATIVO
8;Hong Algodão;Mrcia_Barros91@gmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;CANCELADO
9;metrics Berkshire well-modulated;Luiza.Melo64@yahoo.com;../fake-data/blob/hipster.png;image/png;2021-05-10;CANCELADO
10;Salsicha;Dalila.Xavier@bol.com.br;../fake-data/blob/hipster.png;image/png;2021-05-11;ATIVO
